 num|dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  spec. type   
----|----------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------------
1   |     95.32|Gaia DR2 3312789501827034624       |WD?|04 26 58.7531767632 +15 50 26.397326796|     ~   |     ~   |     ~   |     ~   |~              
2   |    367.68|Cl* Melotte 25 VA 433              |*  |04 27 25.4345630184 +15 52 22.685937132|     ~   |19.84    |18.1     |     ~   |~              
3   |    379.82|[BKM2008] HA1Ic09-735l             |*  |04 27 20.4 +15 48 00                   |     ~   |     ~   |     ~   |     ~   |~              
4   |    384.57|Gaia DR3 3312792701578454272       |Y*?|04 27 02.8437070200 +15 58 22.374905196|     ~   |     ~   |     ~   |     ~   |~              
5   |    454.40|[BKM2008] HA1Ic09-460l             |*  |04 27 16.5 +15 45 33                   |     ~   |     ~   |     ~   |     ~   |~              
6   |    474.04|Cl* Melotte 25 VA 436              |PM*|04 27 26.6879020512 +15 56 36.571684848|     ~   |12.93    |12.00    |11.94    |~              
7   |    530.43|NSVS 9440915                       |EB?|04 27 20.7722396328 +15 59 17.699368704|     ~   |12.30    |11.468   |     ~   |~              
8   |    534.40|ATO J066.7788+15.7208              |EB?|04 27 06.9217594923 +15 43 15.022902370|     ~   |17.784   |16.853   |     ~   |~              
9   |    617.95|HD 285809                          |*  |04 26 37.4028870312 +16 00 45.014940000|     ~   |10       |     ~   |     ~   |K0             
10  |    618.22|DO 10494                           |*  |04 26 37.400 +16 00 45.30              |     ~   |     ~   |     ~   |     ~   |~              
11  |    618.46|HD 285813                          |*  |04 27 22.7967628920 +15 43 16.331644668|     ~   |12.23    |11.35    |     ~   |G0             
12  |    642.63|Cl* Melotte 25 VA 441              |*  |04 27 30.7284492624 +15 59 45.318045012|     ~   |17.73    |16.7     |15.16    |~              
13  |    645.70|2MASS J04262583+1545029            |*  |04 26 25.8409996608 +15 45 03.020011128|     ~   |     ~   |     ~   |     ~   |M5III          
14  |    650.69|Cl* Melotte 25 VA 445              |PM*|04 27 33.4729322424 +15 44 44.111228712|     ~   |17.13    |15.84    |13.70    |~              
15  |    709.43|CRTS J042652.6+160341              |RR*|04 26 52.7164163544 +16 03 41.615547192|     ~   |     ~   |15.03    |     ~   |~              
16  |    718.07|TYC 1265-326-1                     |*  |04 26 44.7542826312 +15 40 36.483020148|     ~   |13.10    |11.39    |     ~   |~              
17  |    726.94|TXS 0423+156                       |Rad|04 26 16.4 +15 45 56                   |     ~   |     ~   |     ~   |     ~   |~              
18  |    727.39|2E 0424.7+1554                     |X  |04 27 33.4 +16 01 05                   |     ~   |     ~   |     ~   |     ~   |~              
19  |    750.51|Cl* Melotte 25 VA 455              |*  |04 27 43.4967402504 +15 45 08.696854368|     ~   |14.16    |13.02    |12.92    |~              
